topic,project_num,core_project_num,title,fiscal_year,award_amount,org_name,org_city,org_state,org_country,pi_names,agency_ic,start_date,end_date
forensic neuroscience,1R01MH100040-01,R01MH100040,Sample synthetic project #40 on forensic neuroscience,2022,176153.35,Harvard Medical School,Boston,MA,United States,Sam Researcher,National Institute of Mental Health,2022-04-01,2026-03-31
forensic neuroscience,1R01MH100045-01,R01MH100045,Sample synthetic project #45 on forensic neuroscience,2021,211508.63,Yale University,New Haven,CT,United States,Marcus Singh,National Institute of Neurological Disorders and Stroke,2021-04-01,2025-03-31
forensic neuroscience,1R01MH100041-01,R01MH100041,Sample synthetic project #41 on forensic neuroscience,2020,301237.01,Yale University,New Haven,CT,United States,Aisha Martinez,National Institute of Neurological Disorders and Stroke,2020-04-01,2024-03-31
psychopathy,1R01MH100005-01,R01MH100005,Sample synthetic project #5 on psychopathy,2026,414180.81,University of Toronto,Toronto,ON,Canada,Jane Okafor; Wei Holt,National Institute on Drug Abuse,2026-04-01,2030-03-31
psychopathy,1R01MH100007-01,R01MH100007,Sample synthetic project #7 on psychopathy,2025,233126.10,University of Toronto,Toronto,ON,Canada,Wei Nowak,National Institute of Neurological Disorders and Stroke,2025-04-01,2029-03-31
psychopathy,1R01MH100006-01,R01MH100006,Sample synthetic project #6 on psychopathy,2024,614815.70,King's College London,London,,United Kingdom,Wei Nowak,National Institute of Neurological Disorders and Stroke,2024-04-01,2028-03-31
psychopathy,1R01MH100008-01,R01MH100008,Sample synthetic project #8 on psychopathy,2023,462104.96,University of Toronto,Toronto,ON,Canada,Jane Bianchi; Aisha Okafor,National Institute of Neurological Disorders and Stroke,2023-04-01,2027-03-31
psychopathy,1R01MH100009-01,R01MH100009,Sample synthetic project #9 on psychopathy,2023,165529.42,Harvard Medical School,Boston,MA,United States,Priya Researcher; Marcus Okafor,National Institute on Drug Abuse,2023-04-01,2027-03-31
psychopathy,1R01MH100010-01,R01MH100010,Sample synthetic project #10 on psychopathy,2023,320224.73,University of Toronto,Toronto,ON,Canada,Priya Bianchi,National Institute on Drug Abuse,2023-04-01,2027-03-31
psychopathy,1R01MH100002-01,R01MH100002,Sample synthetic project #2 on psychopathy,2022,306262.32,King's College London,London,,United Kingdom,Elena Okafor,National Institute on Drug Abuse,2022-04-01,2026-03-31
psychopathy,1R01MH100003-01,R01MH100003,Sample synthetic project #3 on psychopathy,2022,491544.01,University of Toronto,Toronto,ON,Canada,Elena Researcher,National Institute of Mental Health,2022-04-01,2026-03-31
psychopathy,1R01MH100011-01,R01MH100011,Sample synthetic project #11 on psychopathy,2022,330706.47,Yale University,New Haven,CT,United States,Aisha Bianchi,National Institute of Neurological Disorders and Stroke,2022-04-01,2026-03-31
psychopathy,1R01MH100001-01,R01MH100001,Sample synthetic project #1 on psychopathy,2020,358301.30,King's College London,London,,United Kingdom,Marcus Holt,National Institute of Neurological Disorders and Stroke,2020-04-01,2024-03-31
psychopathy,1R01MH100004-01,R01MH100004,Sample synthetic project #4 on psychopathy,2020,669656.78,McGill University,Montreal,QC,Canada,Aisha Holt,National Institute of Mental Health,2020-04-01,2024-03-31
stress cortisol,1R01MH100038-01,R01MH100038,Sample synthetic project #38 on stress cortisol,2026,193482.14,University of Toronto,Toronto,ON,Canada,Jane Okafor,National Institute of Neurological Disorders and Stroke,2026-04-01,2030-03-31
stress cortisol,1R01MH100039-01,R01MH100039,Sample synthetic project #39 on stress cortisol,2026,563025.52,University of Toronto,Toronto,ON,Canada,Sam Researcher; Sam Holt,National Institute on Drug Abuse,2026-04-01,2030-03-31
stress cortisol,1R01MH100035-01,R01MH100035,Sample synthetic project #35 on stress cortisol,2025,299024.27,University of Toronto,Toronto,ON,Canada,Sam Singh,National Institute of Mental Health,2025-04-01,2029-03-31
stress cortisol,1R01MH100036-01,R01MH100036,Sample synthetic project #36 on stress cortisol,2025,233717.95,King's College London,London,,United Kingdom,Elena Bianchi; Wei Researcher,National Institute of Mental Health,2025-04-01,2029-03-31
stress cortisol,1R01MH100034-01,R01MH100034,Sample synthetic project #34 on stress cortisol,2023,504611.80,University of Toronto,Toronto,ON,Canada,Wei Bianchi,National Institute of Neurological Disorders and Stroke,2023-04-01,2027-03-31
stress cortisol,1R01MH100037-01,R01MH100037,Sample synthetic project #37 on stress cortisol,2023,299415.32,University of Toronto,Toronto,ON,Canada,Aisha Martinez,National Institute of Mental Health,2023-04-01,2027-03-31
stress cortisol,1R01MH100033-01,R01MH100033,Sample synthetic project #33 on stress cortisol,2020,261653.96,University of Wisconsin-Madison,Madison,WI,United States,Priya Nowak; Priya Bianchi,National Institute of Neurological Disorders and Stroke,2020-04-01,2024-03-31
